ID	RESPONSABLE	EQUIPO 1	EQUIPO 2	EQUIPO 3	EQUIPO 4	EQUIPO 5	EQUIPO 6	EQUIPO 7	EQUIPO 8	EQUIPO 9	EQUIPO 10	EQUIPO 11	EQUIPO 12	INTEGRANTES	FINANCIAMIENTO	MONTO FINANCIAMIENTO	A. INICIO	A. TERMINO	DURACION	PROYECTO EARQ UC	NOMBRE PROYECTO	RESENA	REDIRECT	URL	REFERENCIA IMAGEN	CLUSTER	PUBLICACIONES	TESIS	TEMA 1	TEMA 2	TEMA 3	PONDERACION
10	0.Garcés, Eugenio	0.De la Cerda, Emilio	2.Oteíza, Samuel (U. Magallanes)											3	Concurso de Creación y Cultura Artística - VRI UC	$4.130.000	2016	2017	1	SI	Postulación de estancias de Tierra del Fuego a la categoría de Monumentos Nacionales	El proyecto tiene el propósito de elaborar las bases para la creación de un expediente con la documentación que el Consejo de Monumentos Nacionales (CMN) requiere para avanzar en su declaratoria como monumentos históricos. Se propone un levantamiento histórico, descripción crítica, análisis formales, funcionales y materiales de las estancias seleccionadas. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	12_Garces.png	NO	4	0	PATRIMONIO ARQUITECTÓNICO	PAISAJE Y TERRITORIO		0,20
11	0.Greene, Margarita	0.Contrucci, Pablo	1.Ortúzar, Juan de Dios (Ingeniería UC)	2.Mora, Rodrigo (UDP)										4	Fondecyt Regular - CONICYT	$96.013.000	2014	2017	3	SI	Densificación e Integración Social en torno al METRO	El proyecto plantea investigar el complejo tema de densificación e integración socio-espacial urbana, con miras a desarrollar instrumentos de política pública que posibiliten promover la densificación habitacional en torno a estaciones de Metro, incluyendo viviendas subsidiables, con el fin de promover mayor integración socio espacial.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	14_Greene.png	NO	1	1	MOVILIDAD E INFRAESTRUCTURA	VIVIENDA Y HABITABILIDAD	MORFOLOGÍA URBANA	0,38
12	0.Greene, Margarita	1.Ortúzar, Juan de Dios (Ingeniería UC)	0.Figueroa, Cristhian	3.Wanitrub, Nathan										4	Concurso Propuestas para Chile - Políticas Públicas UC	$6.000.000	2015	2016	1	SI	Densificación Residencial e Integración Social en Torno a Estaciones de Transporte Masivo	Los objetivos de la investigación son caracterizar la población objetivo y las características urbanas de los entornos de las estaciones de Metro y corredores de Transantiago, y diseñar instrumentos de gestión y estrategias de incentivo, para apoyar la densificación de sectores aledaños a la red de transporte masivo de Santiago. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	14_Greene.png	NO	2	0	MOVILIDAD E INFRAESTRUCTURA	VIVIENDA Y HABITABILIDAD	MORFOLOGÍA URBANA	0,18
13	2.Mora, Rodrigo (UDP)	0.Greene, Margarita	1.Link, Felipe (Estudios Urbanos UC)	2.Weisstaub, Gerardo (Uch)										4	Fondo Nacional de Investigación y Desarrollo en Salud (FONIS) - CONICYT	$24.619.990	2014	2016	2	NO	Caracterización de los usuarios de los gimnasios al aire libre en la ciudad de Santiago		http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	0	ESPACIO PÚBLICO	PERSONAS Y ENTORNOS		0,23
14	0.Hecht, Romy 													1	Concurso PUENTE - VRI UC	$8.000.000	2015	2016	1	SI	Arquitectura del Paisaje y Proyecto de Ciudad: estrategia y gestión en Santiago, 1851-1941	Aporta a la comprensión histórica del rol del proyecto de arquitectura del paisaje como dispositivo de ordenación territorial que determinó la consolidación urbana de Santiago en el siglo XX. Se investigarán estrategias de gestores urbanos que, entre 1851-1941, establecieron al proyecto de paisaje como medio para definir la ciudad.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	0	PAISAJE Y TERRITORIO	TEORÍA E HISTORIA DE LA ARQUITECTURA	MORFOLOGÍA URBANA	0,10
15	0.Hecht, Romy 													1	Fondecyt Regular - CONICYT	$119.340.000	2016	2019	3	SI	Paisajes Emergentes, Santiago 1831-1949: Proyecto Público y Transformación Urbana	A partir de 1831 se idean, gestan y materializan en Santiago proyectos de paisaje a gran escala que, operando como alternativas a una planificación institucional siempre buscada, pero sólo definida a partir de 1939, guiaron la transformación de la ciudad desde mediados del siglo XIX hasta mediados del siglo XX. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	2	2	PAISAJE Y TERRITORIO	TEORÍA E HISTORIA DE LA ARQUITECTURA	MORFOLOGÍA URBANA	0,39
16	0.Hidalgo, Germán	0.Rosas, José	0.Strabucchi, Wren 	2.Valdés, Catalina (UAH)	0.Saavedra, Christian	2.Booth, Rodrigo  (Uch)								6	Fondecyt Regular - CONICYT	$135.678.000	2015	2018	3	SI	Santiago 1850: la capital antes de su modernización. La mirada urbana de la expedición naval astronómica de James Melville Gilliss	La investigación indaga en la forma de Santiago a mediados del siglo XIX a partir del estudio de documentos generados por la expedición astronómica norteamericana al mando de James Melville Gilliss entre 1849 y 1852. Estas fuentes se analizarán para generar un plano que refleje la situación de la capital.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	18_Hidalgo.png	CÁTEDRA DE SANTIAGO	1	1	SANTIAGO	TEORÍA E HISTORIA DE LA ARQUITECTURA	REPRESENTACIÓN ARQUITECTÓNICA	0,44
17	0.Hurtubia, Ricardo													1	Fondecyt de Iniciación - CONICYT	$49.396.000	2013	2016	3	SI	Understanding perception of qualitative attributes in urban space and its effects on user behavior: a mathematical modeling framework	Esta investigación se enfoca en comprender y medir cómo la percepción de los atributos cualitativos de los objetos, en particular elementos del espacio urbano, afecta el comportamiento de los usuarios. Para lograr este objetivo, se desarrolla un marco de modelación matemática del comportamiento y la percepción.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	19_Hurtubia.png	LA CALLE COMO PROYECTO	2	0	ESPACIO PÚBLICO	PERSONAS Y ENTORNOS		0,30
18	0.Iturriaga, Sandra	0.Baixas, Juan Ignacio	3.Ibieta, Paulina	3.Croxatto, Francisco										4	Fondo para proyectos de inversión medioambiental y social relacionados con las franjas de canales administrados por la Sociedad del Canal del Maipo 2011- 2014	$0	2014	2016	2	SI	MAPOCHO 42 K / Etapa II	Tiene como objetivo realizar un estudio para el acondicionamiento de las riberas del río Mapocho como un gran Cicloparque continuo de uso público y esparcimiento. Este recorrido conectaría todos los parques y áreas verdes existentes y potenciales en una continuidad paisajista que acompañe al torrente a lo largo 42 Km. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	20_Iturriaga.png	MAPOCHO 42K  BORDERLAB	6	1	ESPACIO PÚBLICO	MOVILIDAD E INFRAESTRUCTURA	PAISAJE Y TERRITORIO	0,35
19	0.Iturriaga, Sandra													1	Fondart Regional - Línea Conservación y Difusión del Patrimonio Cultural	$9.920.000	2015	2016	1	SI	Guía visual del patrimonio paisajístico ferroviario: Ruta trasandina Lebu-Lonquimay	Este proyecto busca poner en valor la ruta ferroviaria Lebu-Lonquimay, pensada originalmente como Ruta Trasandina. Esta Ruta que tardó casi 70 años en consolidarse, presenta hoy una notable situación para ser descubierta en los 333 km que recorre, a partir de los tres tramos que conforman este Atlas.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	21_Iturriaga.png	NO	1	0	PAISAJE Y TERRITORIO	MOVILIDAD E INFRAESTRUCTURA	PATRIMONIO ARQUITECTÓNICO	0,12
20	0.Mondragón, Hugo	0.Alonso, Pedro	0.Cortés, Macarena	0.Bonomo, Umberto	0.Gambarra, Thaise 									5	Fondart Nacional línea Investigación	$25.709.002	2015	2017	2	SI	El discurso de la arquitectura chilena contemporánea. Cuatro discursos fundamentales	"Durante las últimas dos décadas la arquitectura chilena ha producido cuantiosas obras reconocidas a nivel nacional e internacional, con importante difusión. Sin embargo, ejercicios críticos en torno a estas han sido escasos. Esta investigación propone realizar un análisis para construir un ""orden del discurso"", analizando fuentes documentales y obras representativas. "	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	CRÍTICA DE ARQUITECTURA	0	1	TEORÍA E HISTORIA DE LA ARQUITECTURA			0,27
21	0.Moris, Roberto	1.Bergamini, Kay (Estudios Urbanos UC)												2	Ministerio del Interior / SUBDERE	$402.820.000	2016	2017	2	SI	Estudio de Capacidad de Carga Demográfica en Isla de Pascua	Desarrollo de metodología ad hoc para cálculo de capacidad de carga de Isla de Pascua. Bajo un modelo de involucramiento comunitario efectivo y vinculante.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	23_Moris.png	NO	0	0	POLÍTICAS PÚBLICAS	PERSONAS Y ENTORNOS	GESTIÓN DE DESASTRES	0,38
22	0.Moris, Roberto	1.Bergamini, Kay (Estudios Urbanos UC)												2	CODELCO	$0	2015	2016	2	SI	Modelos de gestión para la recuperación postcatástrofe. Caso Reconstrucción de Provincia de Chañaral, Región de Atacama	Desarrollo de propuestas de recuperación en el ámbito de la emergencia y la reconstrucción. Metodología de generación de Plan de Reconstrucción. Estudio de Riesgos para localidades afectadas.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	1	GESTIÓN DE DESASTRES	POLÍTICAS PÚBLICAS		0,21
23	0.Moris, Roberto	1.Link, Felipe (Estudios Urbanos UC)												2	CORFO / CODELCO	$107.000.000	2016	2016	1	SI	Diversificación productiva de la cuenca del rio Salado y plan integrado de Diego de Almagro	Análisis de brechas de desarrollo productivo ante escenarios de desaceleración económica y caída de la minería. Propuesta de diversificación productiva en proceso de reconstrucción postcatástrofe.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	25_Moris.png	NO	0	0	GESTIÓN DE DESASTRES	POLÍTICAS PÚBLICAS		0,16
24	0.Ojeda, Juan Eduardo	3.Alarcón, Matías (ARQ UC)	3.Echaurren, Juan (ARQ UC)	3.Fuhrhop, Cristian (ARQ UC)	3.Insunza, Javier (ARQ UC)	3.Quinteros, Leonardo (ARQ UCh)								6	AULAB-Laboratorio de Gobierno	$0	2015	2016	1	SI	Levanta Tu Casa	"Estudiantes de la PUC y la UCh proponen una solución constructiva simple a partir de un módulo estructural, con materiales disponibles en todas las barracas y ferreterías de Chile. Son viviendas progresivas que comienzan de 28 m2, pudiendo crecer a 43 m2; y proponen un sistema de eficiencia energética pasivo."	http://fadeu.uc.cl/	http://fadeu.uc.cl/	26_Ojeda.png	NO	0	0	VIVIENDA Y HABITABILIDAD	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES	0,18
25	1.Palmarola, Hugo (Diseño UC)	0.Alonso, Pedro												2	Concurso de Creación y Cultura Artística - Vicerrectoría de Investigación UC	$3.279.980	2016	2016	1	NO	Coreographies (Coreografias) / Participación en la 4ta Trienal de Arquitectura de Lisboa	El proyecto Coreographies, busca presentar la construcción conceptual de los lugares de construcción, en su dimensión política y cultural. La comparación critica de películas y animaciones infantiles realizadas en EE.UU. y la URRS entre 1930 y 1980, muestra que esos sitios son lugares donde ideología e imaginación se combinan.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	27_Palmarola.png	NO	0	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	REPRESENTACIÓN ARQUITECTÓNICA		0,11
26	0.Pérez, Elvira	1.Brañes, María José (Letras UC)	0.Pérez, Fernando											3	Dirección de Pastoral y Cultura Cristiana y VRI UC	$4.000.000	2016	2017	1	SI	Los Jesuitas y el territorio II: fe, mundo y misión en Chile Colonial?. ?Santiago/Valparaíso, Concepción y Chiloé.	El proyecto pretende profundizar a una nueva escala, tres casos emblemáticos dentro del sistema de localizaciones jesuitas: en torno a Valparaíso/Santiago y sus inmediaciones, Concepción y la Araucanía, y las misiones circulares de Chiloé. El proyecto busca explicar cómo se manifiesta la relación fe y mundo en el territorio.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	CÁTEDRA DE SANTIAGO	0	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	PAISAJE Y TERRITORIO	PATRIMONIO ARQUITECTÓNICO	0,13
27	0.Pérez, Fernando	0.Pérez, Elvira												2	Dirección de Pastoral y Cultura Cristiana - VRI UC	$3.000.000	2015	2016	1	SI	Los Jesuitas y el territorio 	El objetivo de la investigación es realizar un primer registro de las posesiones territoriales de los jesuitas en Chile y localizar dicho patrimonio en el territorio chileno con el fin de comprender las consecuencias de su distribución espacial.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	PAISAJE Y TERRITORIO	PATRIMONIO ARQUITECTÓNICO	0,11
28	2.Booth, Rodrigo  (Uch)	0.Pérez, Fernando	0.Vásquez, Claudio											3	Fondecyt Regular - CONICYT	$0	2015	2017	2	NO	"""Lo bueno es eterno"". Una historia cultural de la irrupción del hormigón armado y su impacto en la arquitectura y la ingeniería en Chile, 1891-1939"	La investigación estudiará los mecanismos por los cuáles el hormigón armado fue posicionándose en la práctica de la arquitectura y la ingeniería modernas. Proponemos que en torno al hormigón armado se articuló un sistema socio-técnico que para ser instalado debió resistir una serie de controversias en que participaron diversos actores.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	MATERIALES, SISTEMAS Y COMPONENTES		0,20
29	2.Waldheim, Charles (Harvard)	0.Quintana, Francisco	2.Restrepo, Camilo (EAFIT)	2.Sordi, Jeannette (UAI)	2.Vera, Felipe (UAI)	2.Viegas, Fernando (Escola da Cidade)								6	David Rockefeller Center for Latin American Studies - Collaborative Research 2015	$7.000.000	2015	2016	1	NO	Design Latin America: Landscape as Urbanism	El Departamento de Arquitectura del Paisaje de Harvard GSD en colaboración con universidades e instituciones locales de América Latina, desarrollará un proyecto de investigación para estudiar el urbanismo del paisaje en varias ciudades latinoamericanas y así generar debate sobre el potencial para el desarrollo urbano sostenible en la región. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	31_Quintana.png	NO	1	0	PAISAJE Y TERRITORIO	MORFOLOGÍA URBANA		0,20
30	0.Quintanilla, José													1	Ministerio de Economía y Competitividad de España	$0	2014	2016	2	SI	Recuperación y difusión de los archivos fotográficos de la arquitectura moderna para el desarrollo de un patrimonio visual operativo	El proyecto se propone la recuperación y difusión de archivos fotográficos especializados en arquitectura en América Latina. Sobre la base de este patrimonio arquitectónico y su referente visual se evaluará la relación de la obra arquitectónica con la imagen que la difunde para deslindar los valores de cada una.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	32_Quintanilla.png	NO	1	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	PATRIMONIO ARQUITECTÓNICO	REPRESENTACIÓN ARQUITECTÓNICA	0,19
31	0.Portal, Fernando													1	Fondart Nacional - Investigación	$0	2015	2016	1	SI	INTEC, Diseño y Desarrollo en Chile, 1970 - 1973	Con los objetivos de documentar, analizar y difundir la producción del Grupo de Diseño Industrial - liderado por Gui Bonsiepe, y alojado en el INTEC entre 1970 y septiembre 1973 - la investigación busca profundizar en las condiciones de desarrollo disciplinar del diseño industrial en América Latina y en Chile.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	3	0	TEORÍA E HISTORIA DE LA ARQUITECTURA			0,15
32	0.Rosas, José	0.Strabucchi, Wren	0.Hidalgo, Germán	0.Bannen, Pedro										4	Fondecyt Regular - CONICYT	$101.150.000	2014	2017	3	SI	Santiago 1939. La idea de la ciudad moderna de Karl Brunner y el plano oficial de urbanización de Santiago en sus 50 años de vigencia	"El objetivo es identificar la idea de “ciudad moderna” de Karl Brunner que encarna El Plano Oficial de Urbanización de Santiago de 1939, como documento gráfico relevante para comprender proyectos, cambios y continuidades que la ciudad registra hasta 1989 y desagregar analíticamente las acciones ""prescriptivas"" y “predictivas"", contenidas en él."	http://fadeu.uc.cl/	http://fadeu.uc.cl/	34_Rosas.png	CÁTEDRA DE SANTIAGO	4	0	SANTIAGO	TEORÍA E HISTORIA DE LA ARQUITECTURA	MORFOLOGÍA URBANA	0,42
33	0.Sandoval, Cristián													1	Consejo de Monumentos Nacionales	$0	2015	2016	1	SI	Estudio experimental de muros de albañilería simple reforzados con la técnica bed joint structural repointing	Estudio del efecto de la técnica “bed joint structural repointing” en el comportamiento a corte de paneles de mampostería simple con juntas de mortero de cal, tipo de mampostería típica de las construcciones antiguas de Santiago. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	7	0	MATERIALES, SISTEMAS Y COMPONENTES	GESTIÓN DE DESASTRES		0,22
34	0.Saravia, Gloria													1	Municipalidad de Frutillar, Fundación Plades Frutillar, Puentes UC	$0	2015	2017	2	SI	Paisaje cultural y patrimonial de Frutillar	El proyecto desde una lectura del paisaje basada en tres líneas de trabajo, propone componer un imaginario del paisaje cultural y patrimonial de la Comuna de Frutillar, en el sur de nuestro país, definiendo y visibilizando de esta manera los aspectos que configuran su identidad. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	36_Saravia.png	NO	0	0	PAISAJE Y TERRITORIO	PATRIMONIO ARQUITECTÓNICO		0,17
35	0.Torrent, Horacio													1	Fondecyt Regular - CONICYT	$91.978.000	2014	2017	3	SI	La arquitectura de la Gran Ciudad, Chile 1930-1970	La investigación se enfoca en las formas en que la arquitectura moderna constituyó un medio singular para la conformación de un país urbano, incorporando una nueva dimensión y carácter que denominamos “arquitectura de la gran ciudad”. Esta arquitectura no sólo se manifestó en la capital, sino también en otras ciudades.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	37_Torrent.png	PATRIMONIO MODERNO Y CIUDAD	16	4	TEORÍA E HISTORIA DE LA ARQUITECTURA	MORFOLOGÍA URBANA	PATRIMONIO ARQUITECTÓNICO	0,69
36	0.Ugarte, Juan José	2.Bobadilla, Ariel (UBB)	2.Opazo, Alex (UBB)	0.Bustamante, Waldo	1.Santa María, Hernán (Ingeniería UC)									5	CIM UC - Concurso Interuniversitario de Investigación en Madera	$130.000.000	2016	2017	1	SI	Edificios de madera: sistemas de envolventes para construcciones de mediana altura intensivas en el uso de madera, ecológicamente sustentables y económicamente viables	El proyecto propone desarrollar innovadores sistemas de muros de envolventes para edificación de mediana altura en madera (hasta 6 pisos), con atributos de eficiencia energética y sustentabilidad certificados, para atender necesidades del mercado de la construcción sustentable y reducir el consumo energético y la emisión de gases efecto invernadero.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	CLUSTER DE LA MADERA	0	0	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES		0,22
37	1.Santa María, Hernán (Ingeniería UC)	2.Salinas, Angela (UBB)	2.Opazo, Alex (UBB)	0.Ugarte, Juan José	1.Almazán, José Luis (Ingeniería UC)	1.Rodríguez, Gonzalo (Construcción Civil UC)								6	CORFO – Programa Bienes Públicos Estratégicos de alto impacto para la Competitividad	$345.384.808	2016	2018	2	NO	 Evaluación y propuesta de modificación de normativa de diseño estructural para la construcción de una edificación de mediana altura en Chile con estructura en madera utilizando el sistema de marco y plataforma	Este proyecto pretende cubrir las brechas normativas y de conocimiento que impiden potenciar la edificación en madera en altura, generando un bien público que considere tanto aspectos estructurales como económicos. Se espera generar una propuesta de modificación de normativa que habilite la construcción de edificios de 5 o más pisos.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	CLUSTER DE LA MADERA	0	0	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES	GESTIÓN DE DESASTRES	0,42
38	0.Ugarte, Juan José	1.Victorero, Felipe (CIM UC)	1.Aguilera, María Inés (CIM UC)	1.Guarda, José Francisco (CIM UC)	2.Instituto Fraunhoffer									5	CORFO - Iniciativas de Fomento Integradas (IFI)	$192.002.855	2015	2016	1	SI	Barrios eco- sustentables: solución de viviendas sociales industrializadas para la reconstrucción de Atacama	El proyecto desarrolla un diseño replicable para la construcción de barrios eco sustentables a nivel nacional, a partir de viviendas industrializadas en madera, que entreguen una respuesta efectiva a las empresas prefabricadoras, constructoras y montajistas. La solución es de alta eficiencia energética, y mayor superficie que el estándar actual. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	40_Ugarte.png	CLUSTER DE LA MADERA	0	0	VIVIENDA Y HABITABILIDAD	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES	0,25
39	0.Ugarte, Juan José	1.Cid, Allan (CIM UC)	1.Letelier, Karis (CIM UC)	1.Fritz, Alexander (Construcción Civil UC)										4	CORFO - Programa de Difusión Tecnológica (PDT)	$90.000.000	2015	2016	1	SI	Solución de viviendas industrializadas en madera-ingeniería para empresas constructoras y montajistas.	Diseño y ejecución prototipo de vivienda industrializadas en madera. Programa de transferencia tecnológica para generar nuevas capacidades en la Región.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	41_Ugarte.png	CLUSTER DE LA MADERA	0	0	VIVIENDA Y HABITABILIDAD	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES	0,19
